Author username,Author tag,Author avatar,Is bot,Date,Content,Mentions,Attachments,Embed 1,Embed 1 thumbnail,Embed 1 image,Embed 1 video,Embed 1 url
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/30/2023 6:34:14 PM,this is for Mate,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/30/2023 6:34:13 PM,,,https://cdn.discordapp.com/attachments/877367376688062525/1069807790471794748/Screen_Shot_2023-01-30_at_6.34.10_PM.png,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/28/2023 1:21:06 PM,fr,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/28/2023 12:46:41 PM,kaneko was always my g,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/28/2023 12:46:21 PM,damn FOOP is a UC approved g,ElvisTheDino#7823,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/28/2023 12:46:11 PM,what a scam,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/28/2023 12:46:09 PM,I heard about this too,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/28/2023 12:46:05 PM,bruh,ElvisTheDino#7823,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/27/2023 7:26:07 AM,but Mr Paley doesn't teach it anymore so idk if he can do anything,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/27/2023 7:25:59 AM,i want honors credit for this,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/27/2023 7:25:51 AM,,,https://cdn.discordapp.com/attachments/877367376688062525/1068552428284293210/Screen_Shot_2023-01-27_at_7.25.48_AM.png,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/27/2023 7:25:45 AM,foop is honors now what,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 9:54:34 PM,infinite,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 9:53:33 PM,whats ur placae,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 9:53:32 PM,damn,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 9:53:03 PM,https://finalharvest.app/share/1857cba7833147ab9aa79916f8884cab,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 9:53:02 PM,I already got harvested,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 9:52:20 PM,https://finalharvest.app/share/64af3c8907104092a3e281df97a9e969,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:45:36 PM,"From the moment Mate learned what her sisters were doing to fight Trujillo's regime, she instantly made her decision, and despite being much younger decided to devote her time to helping them. Shows a lot of bravery on her part",,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:45:01 PM,"""I told Minerva and Manolo right out, I wanted to join. I could feel my breath coming short with the excitement of it all"" (Alvarez 142).",,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:24:08 PM,yeah,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:23:47 PM,"shows that Minerva had to sacrifice everything, even her own children and the people she loved for the cause of fighting against Trujillo and his oppresive regime",,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:23:26 PM,"But Minerva, your own child—"" I began and then I saw it did hurt her to make this sacrifice she was convinced she needed to make.",,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:23:26 PM,found a good minerva quote,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:21:38 PM,idk why i had the wrong citation,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:21:32 PM,its actually page 5,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:21:07 PM,ima def use this in the debate,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:20:48 PM,that's rly good,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:20:47 PM,wait,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:20:46 PM,ohh yes,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:20:31 PM,shows how everything that happened affected and traumatized her as well as her sisters who were more involved,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:20:01 PM,"“But really, this woman should shut car doors with less violence. Spare an aging woman’s nerves. And I’m not the only one, Dedé thinks. Any Dominican of a certain generation would have jumped at that gunshot sound” (Alvarez 8)",,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:19:59 PM,i have one for dede actually,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:18:57 PM,sheesh,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:18:53 PM,i like spent the last hour reading summaries on every chapter of the book,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:18:49 PM,yeah,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:18:44 PM,lol I haven't read any of the book so im kinda in the same boat as u,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:18:35 PM,ok its fine,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:17:51 PM,like I said I missed a lot of it (these quotes I have are from the first chapters),,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:17:21 PM,and I don't have any for Dede,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:17:14 PM,"“‘Trujillo was doing bad things?’ It was as if I had just heard Jesus had slapped a baby or Our Blessed Mother had not conceived Him the immaculate conception way. ‘That can’t be true,’ I said…” (Alvarez 17)",,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:17:14 PM,i have a similar one for Minerva but I didn't analyse it,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:16:26 PM,also Minerva quotes,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:16:24 PM,can I have them,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:16:22 PM,if u have any dede quotes,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:16:03 PM,alr,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:16:01 PM,nice ill add this,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:15:46 PM,"This quote of Mate demonstrates that she has realized that she thinks of Trujillo differently from how she used to, now that she knows some of his darker secrets. This is similar to the change that Minerva shows.",,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:15:46 PM,yea,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:15:32 PM,"“I see the picture of our president with eyes that follow me around the room, and I am thinking he is trying to catch me doing something wrong. Before, I always thought our president was like God, watching over everything I did.” (Alvarez 39).",,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:15:30 PM,do you want to add this one:,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:15:12 PM,the notes are hella crappy but yea,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:15:05 PM,ye,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:14:50 PM,don't share it with anyone else lol,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:14:46 PM,for different characters,,,,,,,
ElvisTheDino,#7823,https://cdn.discordapp.com/avatars/870433577433706526/0029f802282ca4894889c6b282af682c.png,No,1/25/2023 6:14:43 PM,oh dang thanks,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:14:42 PM,it has a bunch of quotes,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:14:35 PM,https://docs.google.com/document/d/1marGaqbMaEe06tT8svyVXDjt3DjfXXbDWGjRC8TnbTM/edit,,,"(Patria pg 53): “I had heard, but I had not believed. Snug in my heart, fondling my pearl, I had ignored their cries of desolation. How could our loving, all-powerful Father allow us to suffer so? I looked up, challenging Him. And the two faces had merged!”  This is the first time Patria has dire...",https://lh4.googleusercontent.com/kXuZpFDAtGjwI3AWPdoY1icVMV2vafLjM3sHRdESX-0cP9RPsK8wrB4HvhRyPQwnKhOy5WN7VLGf3g=w1200-h630-p,,,https://docs.google.com/document/d/1marGaqbMaEe06tT8svyVXDjt3DjfXXbDWGjRC8TnbTM/edit
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:14:35 PM,I have this thing I kinda made,,,,,,,
Xenon757,#9974,https://cdn.discordapp.com/avatars/618916724493778985/da020f9ea416e5fcde8d3ae30f074355.png,No,1/25/2023 6:14:32 PM,here,,,,,,,
